design_id,max_temperature_c,total_wire_length_mm,status
1,56.3,249.2,ok
2,55.0,187.3,ok
3,63.2,253.1,ok
4,83.0,198.8,ok
5,167.8,237.9,thermal_violation
6,84.8,167.7,ok
7,85.6,243.7,ok
8,64.0,212.7,ok
9,72.4,156.1,geometry_error
10,87.3,216.1,ok
11,104.7,208.3,ok
12,52.0,254.2,ok
13,150.8,186.5,thermal_violation
14,62.3,222.8,ok
15,189.9,179.2,thermal_violation
16,146.6,233.4,thermal_violation
17,61.7,250.9,ok
18,76.3,252.5,ok
19,102.6,197.1,ok
20,60.5,274.4,ok
21,53.8,216.5,ok
22,165.8,191.7,thermal_violation
23,88.9,-34.2,ok
24,67.6,252.6,ok
25,85.0,243.5,ok
26,52.0,216.0,ok
27,53.2,258.0,ok
28,68.0,215.8,ok
29,64.3,170.5,ok
30,77.8,146.0,geometry_error
31,216.0,175.1,thermal_violation
32,52.6,206.6,ok
33,76.0,264.7,ok
34,66.9,229.1,ok
35,126.9,196.6,thermal_violation
36,125.4,217.5,thermal_violation
37,69.0,253.6,ok
38,53.1,264.6,ok
39,70.6,239.5,ok
40,121.5,256.0,thermal_violation
41,63.4,151.8,geometry_error
42,53.7,193.2,ok
43,120.7,220.2,thermal_violation
44,42.5,239.8,ok
45,85.8,252.9,ok
46,53.0,237.5,ok
47,132.5,150.8,geometry_error
48,116.4,259.4,thermal_violation
49,119.4,201.8,thermal_violation
50,146.7,235.4,thermal_violation
51,118.8,281.6,thermal_violation
52,113.1,212.4,thermal_violation
53,120.7,204.6,thermal_violation
54,75.7,210.8,ok
55,69.8,234.3,ok
56,71.7,268.2,ok
57,66.6,188.1,ok
58,118.5,259.4,thermal_violation
59,194.1,179.8,thermal_violation
60,77.6,192.3,ok
61,55.9,222.0,ok
62,71.0,197.2,ok
63,105.5,191.1,thermal_violation
64,119.0,247.3,thermal_violation
65,54.8,174.6,ok
66,82.0,206.6,ok
67,134.0,221.2,thermal_violation
68,74.0,215.8,ok
69,57.5,192.8,ok
70,96.8,174.9,ok
71,71.3,165.4,ok
72,49.1,266.3,ok
73,88.8,259.4,ok
74,143.7,179.7,thermal_violation
75,80.6,270.0,ok
76,125.0,201.1,thermal_violation
77,75.1,201.0,ok
78,109.3,209.4,thermal_violation
79,170.7,224.9,thermal_violation
80,69.3,181.4,ok
81,89.9,199.9,ok
82,88.3,152.6,geometry_error
83,158.5,196.4,thermal_violation
84,66.3,225.6,ok
85,217.5,180.2,thermal_violation
86,212.7,137.1,geometry_error
87,113.5,199.5,thermal_violation
88,76.3,237.1,ok
89,,194.9,sim_failed
90,147.5,190.6,thermal_violation
91,99.4,256.6,ok
92,103.8,159.4,ok
93,51.4,237.5,ok
94,53.3,216.1,ok
95,154.6,193.5,thermal_violation
96,63.2,246.5,ok
97,118.7,260.7,thermal_violation
98,104.6,224.2,ok
99,53.8,187.1,ok
100,66.1,191.9,ok
101,87.1,173.2,ok
102,80.8,282.5,ok
103,132.6,186.5,thermal_violation
104,47.6,250.1,ok
105,48.6,183.1,ok
106,79.6,195.1,ok
107,47.6,230.2,ok
108,109.0,197.4,thermal_violation
109,172.0,228.2,thermal_violation
110,86.0,165.9,ok
111,79.4,256.2,ok
112,121.4,212.4,thermal_violation
113,72.7,208.6,ok
114,71.9,218.5,ok
115,49.2,229.3,ok
116,80.3,213.4,ok
117,118.1,246.4,thermal_violation
118,116.7,246.6,thermal_violation
119,172.9,170.2,thermal_violation
120,59.8,222.8,ok
121,95.8,256.0,ok
122,81.1,208.3,ok
123,55.4,182.1,ok
124,107.9,233.3,thermal_violation
125,123.5,266.2,thermal_violation
126,70.9,234.0,ok
127,65.1,203.8,ok
128,93.5,241.5,ok
129,84.1,219.2,ok
130,68.5,234.1,ok
131,127.0,221.1,thermal_violation
132,218.6,211.5,thermal_violation
133,124.6,266.5,thermal_violation
134,55.4,241.9,ok
135,72.5,231.6,ok
136,68.0,197.1,ok
137,103.9,201.0,ok
138,87.4,172.6,ok
139,96.7,237.5,ok
140,133.9,250.8,thermal_violation
141,130.6,190.6,thermal_violation
142,65.5,214.2,ok
143,53.6,255.1,ok
144,104.1,197.7,ok
145,130.3,249.9,thermal_violation
146,44.4,269.5,ok
147,89.3,224.8,ok
148,58.1,192.3,ok
149,56.9,270.6,ok
150,59.3,206.0,ok
151,79.4,226.8,ok
152,102.1,221.4,ok
153,200.4,143.9,geometry_error
154,47.7,266.6,ok
155,72.9,191.6,ok
157,113.9,258.8,thermal_violation
158,44.4,262.6,ok
159,88.3,253.3,ok
160,86.8,225.1,ok
161,138.9,254.3,thermal_violation
162,108.2,186.5,thermal_violation
163,48.6,235.3,ok
164,142.1,225.2,thermal_violation
165,82.8,239.1,ok
166,142.2,252.6,thermal_violation
167,58.7,248.2,ok
168,57.0,258.5,ok
169,63.0,188.0,ok
170,67.3,232.2,ok
171,130.4,243.0,thermal_violation
172,87.2,218.4,ok
173,213.4,141.7,geometry_error
174,59.0,268.4,ok
175,98.6,232.3,ok
176,110.8,203.6,thermal_violation
177,92.8,202.4,ok
178,62.5,210.9,ok
179,74.2,215.0,ok
180,63.1,242.8,ok
181,91.6,212.2,ok
182,73.2,214.9,ok
183,103.5,184.2,ok
184,66.1,194.4,ok
185,170.1,235.3,thermal_violation
186,48.5,225.2,ok
187,73.4,257.3,ok
188,165.5,207.1,thermal_violation
189,137.0,271.1,thermal_violation
190,48.5,218.3,ok
191,67.9,205.8,ok
192,94.0,168.8,ok
193,113.2,275.1,thermal_violation
194,116.0,271.1,thermal_violation
195,69.6,250.9,ok
196,54.8,182.6,ok
197,102.8,228.3,ok
198,54.0,218.8,ok
199,140.2,234.8,thermal_violation
200,119.2,195.5,thermal_violation
